latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Ardisiae Japonicae Herba,,왜지차,矮地茶,矮地茶,Aidicha,,
Arecae Pericarpium,Areca Peel,대복피,大腹皮,大腹皮,Dafupi,ダイフクヒ,大腹皮
Arecae Semen,,빈랑자,檳榔子,槟榔,Binglang,ビンロウジ,檳榔子
Arecae Semen Tostum,,초빈랑,焦檳榔,焦槟榔,Jiaobinglang,,
Arisaema Cum Bile,,담남성,膽南星,胆南星,Dannanxing,,
Arisaematis Rhizoma,Arisaema Rhizome,천남성,天南星,天南星,Tiannanxing,テンナンショウ,天南星
Aristolochiae Fructus,,마두령,馬兜鈴,马兜铃,Madouling,,
Aristolochiae Herba,,천선등,天仙藤,天仙藤,Tianxianteng,,
Armeniacae Semen,Apricot Kernel,행인,杏仁,苦杏仁,Kuxingren,キョウニン,杏仁
Artemisiae Annuae Herba,,청호,靑蒿,青蒿,Qinghao,,
Artemisiae Anomalae Herba,,유기노,劉寄奴,刘寄奴,,,
Artemisiae Argyi Folium,,애엽,艾葉,艾叶,Aiye,ガイヨウ,艾葉
Artemisiae Capillaris Herba,,인진호,茵蔯蒿,茵陈,Yinchen,インチンコウ,茵陳蒿
Artemisiae Iwayomogii Herba,,한인진,韓茵蔯,,,,
Asiasari Radix Et Rhizoma,Asiasarum Root and Rhizome,세신,細辛,细辛,Xixin,サイシン,細辛
Asparagi Tuber,Asparagus Tuber,천문동,天門冬,天冬,Tiandong,テンモンドウ,天門冬
Aspongopus,,구향충,九香蟲,九香虫,Jiuxiangchong,,
Asteris Radix Et Rhizoma,Aster Root and Rhizome,자완,紫菀,紫菀,Ziwan,シオン,紫菀
Astragali Complanati Semen,,사원자,沙苑子,沙苑子,Shayuanzi,,
Astragali Radix,Astragalus Root,황기,黃芪,黄芪,Huangqi,オウギ,黄耆
Atractylodis Rhizoma,Atractylodes Rhizome,창출,蒼朮,苍术,Cangzhu,ソウジュツ,蒼朮
Atractylodis Rhizoma Alba,Atractylodes Rhizome White,백출,白朮,白术,Baizhu,ビャクジュツ,白朮
Aucklandiae Radix,,목향,木香,木香,Muxiang,モッコウ,木香
Aurantii Fructus Immaturus,,지각,枳殼,枳壳,Zhiqiao,,
Aurantii Pericarpium,,등피,橙皮,,,トウヒ,橙皮
Baphicacanthis Cusiae Rhizoma Et Radix,,남판람근,南板藍根,南板蓝根,Nanbanlangen,,
Batryticatus Bombyx,,백강잠,白殭蠶,僵蚕,Jiangcan,ビャッキョウサン,"白殭蚕, 白彊蚕, 白姜蚕, 白僵蚕"
Belamcandae Rhizoma,,사간,射干,射干,Shegan,,
Belladonnae Herba,,전가초,顚茄草,颠茄草,Dianqiecao,,
Belladonnae Radix,Belladonna Root,전가근,顚茄根,,,ベラドンナコン,ベラドンナ根
Benincasae Semen,,동과자,冬瓜子,冬瓜子,,トウガシ,冬瓜子
Benzoinum,Benzoin,안식향,安息香,安息香,Anxixiang,アンソッコウ,安息香
Berberidis Radix,,삼과침,三棵針,三颗针,Sankezhen,,
Betulae Cortex,,화피,樺皮,,,,
Bistortae Rhizoma,,권삼,拳參,拳参,Quanshen,,
Bletillae Rhizoma,,백급,白芨,白及,Baiji,,
Boehmeriae Radix,,저마근,苧麻根,苎麻根,,,
Bolbostemmatis Rhizoma,,토패모,土貝母,土贝母,Tubeimu,,
Bombina,,영와,鈴蛙,,,,
Bombycis Faeces,,잠사,蠶沙,蚕沙,,,
Bomeolum,Borneol,용뇌,龍腦,冰片 天然冰片,Bingpian Tianranbingpian,,
Bovis Calculus,Cattle Gallstone,우황,牛黃,牛黄,Niuhuang,ゴオウ,牛黄
Bovis Calculus Artifactus,,인공우황,人工牛黃,人工牛黄,Rengong Niuhuang,,
Bovis Calculus Sativus,,체외배육우황,體外培育牛黃,体外培育牛黄,Tiwai Peiyu Niuhuang,,
Bovis Fel,,우담,牛膽,牛胆汁,,,
Brassicae Campestris Semen,,운대자,蕓薹子,,,,
Brassicae Semen,Mustard seed,개자,芥子,芥子,Jiezi,,
Breeae Herba,,소계,小薊,小蓟,Xiaoji,,
Broussonetiae Fructus,,저실자,楮實子,楮实子,Chushizi,,
Bruceae Fructus,,아담자,鴉膽子,鸦胆子,Yadanzi,,
Bubali Cornu,,수우각,水牛角,水牛角,Shuiniujiao,,
Buddlejae Flos,,밀몽화,密蒙花,密蒙花,Mimenghua,,
Bufonis Cutis,,섬피,蟾皮,蟾皮,,,
Bufonis Venenum,Toad Venom,섬수,蟾酥,蟾酥,Chansu,センソ,蟾酥
Bupleuri Radix,Bupleurum Root,시호,柴胡,柴胡,Chaihu,サイコ,柴胡
Callicarpae Caulis Et Folium,,광동자주,廣東紫珠,广东紫珠,Guangdongzizhu,,
Callicarpae Macrophyllae Folium,,대엽자주,大葉紫珠,大叶紫珠,Dayezizhu,,
Camelliae Sinensis Folium,Green Tea Leaf,차엽,茶葉,茶叶,,チャヨウ,茶葉
Camphorum,,장뇌,樟腦,樟脑,,,
Camphorum Oil,,장유,樟油,樟油,,,
Campsitis Flos,,능소화,凌霄花,凌霄花,Lingxiaohua,,
Canarii Fructus,,청과,靑果,青果,Qingguo,,
Canavaliae Semen,,도두,刀豆,刀豆,Daodou,,
Cannabis Semen,,마인,麻仁,火麻仁,Huomaren,マシニン,麻子仁
Cantharides,,반묘,斑猫,斑蝥,Banmao,,
Capsici Fructus,Capsicum,고추,苦椒,辣椒,Lajiao,トウガラシ,
Caraganae Radix,,골담초근,骨膽草根,,,,
Cardamomi Fructus,Cardamon,소두구,小豆蔲,,,ショウズク,小豆䓻
Carotae Fructus,,남학슬,南鶴虱,南鹤虱,Nanheshi,,
Carpesii Fructus,,학슬,鶴虱,鹤虱,Heshi,,
Carthami Flos,Safflower,홍화,紅花,红花,Honghua,コウカ,紅花
Caryophylli Fructus,,모정향,母丁香,母丁香,Mudingxiang,,
Cassiae Cortex Interior,,계심,桂心,,,,
Cassiae Semen,Cassia Seed,결명자,決明子,决明子,Juemingzi,ケツメイシ,決明子
Castaneae Semen,,건율,乾栗,,,,
Catechu,,아차,兒茶,儿茶,Ercha,,
Celosiae Cristatae Flos,,계관화,鷄冠花,鸡冠花,Jiguanhua,,
Celosiae Semen,,청상자,靑葙子,青葙子,Qingxiangzi,,
Centellae Herba,,적설초,積雪草,积雪草,Jixuecao,,
Centipedae Herba,,아불식초,鵝不食草,鹅不食草,Ebushicao,,
Cera Flava,,봉랍,蜂蠟,蜂蜡,Fengla,ミツロウ,
Cervi Parvum Cornu,,녹용,鹿茸,鹿茸,Lurong,,
Chaenomelis Fructus,,모과,木瓜,木瓜,Mugua,モッカ,木瓜
Changii Radix,,명당삼,明黨參,明党参,Mingdangshen,,
Chebulae Fructus Immaturus,,서청과,西青果,西青果,Xiqingguo,,
Chelidonii Herba,,백굴채,白屈菜,白屈菜,Baiqucai,,
Choerospondiatis Fructus,,광조,廣棗,广枣,Guangzao,,
Chrysanthemi Indici Flos,Chrysanthemum Flower,감국,甘菊,野菊花,Yejuhua,,
Chrysanthemi Zawadskii Herba,,구절초,九折草,,,,
Chrysanthmi Flos,Chrysanthemum Flower,국화,菊花,菊花,Juhua,キクカ,菊花
Cibotii Rhizoma,Cibot Rhizome,구척,狗脊,狗脊,Gouji,,
Cicadidae Periostracum,,선퇴,蟬退,蝉蜕,Chantui,センタイ,蟬退
Cichorii Radix,,국거,菊苣,菊苣,Juju,,
Cimicifugae Rhizoma,Cimicifuga Rhizome,승마,升麻,升麻,Shengma,ショウマ,升麻
Cinnamomi Cortex,Cinnamon Bark,육계,肉桂,肉桂,Rougui,ケイヒ,桂皮
Cinnamomi Ramulus,,계지,桂枝,桂枝,Guizhi,ケイシ,桂枝
Cinnamon Oil,Oleum Cinnamomi,육계유,肉桂油,,,ケイヒ油,桂皮油
Cirsii Herba,,대계,大薊,大蓟,Daji,,
Cissampelotis Herba,,아호노,亞乎奴,亚乎奴,Yahunu,,
Cistanchis Herba,,육종용,肉蓯蓉,肉苁蓉,Roucongrong,ニクジュヨウ,肉蓯蓉
Citri Exocarpium Rubrum,,귤홍,橘紅,橘红,Juhong,,
Citri Fructus,,향연,香櫞,香橼,Xiangyuan,,
Citri Grandis Exocarpium,,화귤홍,化橘紅,化橘红,Huajuhong,,
Citri Sarcodactylis Fructus,,불수,佛手,佛手,Foshou,,
Citri Semen,,귤핵,橘核,橘核,Juhe,,
Citri Unshius Pericarpium,Citrus Unshiu Peel,진피,陳皮,陈皮,Chenpi,チンピ,陳皮
Citri Unshius Pericarpium Immaturus,Citrii Unshiu Immature Peel,청피,靑皮,青皮,Qingpi,セイヒ,青皮
Clematidis Armandii Caulis,,천목통,川木通,川木通,Chuanmutong,,
Clematidis Radix,,위령선,威靈仙,威灵仙,Weilingxian,イレイセン,威霊仙
Clinopodii Herba,,단혈류,斷血流,断血流,Duanxueliu,,
Clove Oil,,정향유,丁香油,,,チョウジ油,丁子油
Cnidi Fructus,,사상자,蛇床子,蛇床子,Shechuangzi,ジャショウシ,蛇床子
Cnidii Rhizoma,Cnidium Rhizome,천궁,川芎,川芎,Chuanxiong,センキュウ,川芎
Codonopsis Pilosulae Radix,Codonopsis Pilosula Root,당삼,黨參,党参,Dangshen,トウジン,党参
Coicis Semen,Coix Seed,의이인,薏苡仁,薏苡仁,Yiyiren,ヨクイニン,薏苡仁
Commelinae Herba,,압척초,鴨跖草,鸭跖草,Yazhicao,,
Condurango Cortex,Condurango,콘두란고,,,,コンズランゴ,
Conyzae Herba,,금용담초,金龍膽草,金龙胆草,Jinlongdancao,,
Coptidis Rhizoma,Coptis Rhizome,황련,黃連,黄连,Huanglian,オウレン,黄連
Coptidis Rhizoma Preparata Cum Vinum,,황련주자,黃連酒炙,,,,
